VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
1,2/4/2016 18:03,2/4/2016 18:09,1,0.7,-73.97453308,40.79101944,1,Y,-73.96488953,40.79273224,1,5.5,1,0.5,1,0,0.3,8.3,,
1,2/10/2016 16:20,2/10/2016 16:34,1,3.1,-73.96113586,40.76054001,1,Y,-73.94974518,40.79607391,1,12,1,0.5,1,0,0.3,14.8,,
1,2/15/2016 16:58,2/15/2016 17:05,1,1.6,-73.99409485,40.74618149,1,Y,-74.0038147,40.72548676,1,7.5,1,0.5,1.85,0,0.3,11.15,,
1,2/5/2016 12:48,2/5/2016 12:50,1,0.3,-73.98142242,40.74868774,1,Y,-73.9825058,40.74572754,1,3.5,0,0.5,0.86,0,0.3,5.16,,
1,2/15/2016 9:29,2/15/2016 9:48,2,4.3,-74.00766754,40.74069214,1,Y,-73.95937347,40.77170563,1,16.5,0,0.5,3.45,0,0.3,20.75,,
1,2/24/2016 14:19,2/24/2016 14:27,1,1.1,-73.98524475,40.74198151,1,Y,-73.97566986,40.75608444,1,7,0,0.5,1.55,0,0.3,9.35,,
1,2/5/2016 23:15,2/5/2016 23:30,1,2.6,-73.9787674,40.74599075,1,Y,-74.00379944,40.72254181,1,12.5,0.5,0.5,1,0,0.3,14.8,,
1,2/5/2016 6:00,2/5/2016 6:47,3,18.8,-73.98462677,40.76900864,2,Y,-73.77635193,40.64559174,1,52,0,0.5,11.65,5.54,0.3,69.99,,
1,2/12/2016 7:12,2/12/2016 7:17,2,1.5,-73.96674347,40.80436325,1,Y,-73.97519684,40.78598404,1,6.5,0,0.5,1.45,0,0.3,8.75,,
1,2/6/2016 9:26,2/6/2016 9:34,1,1.4,-74.00279236,40.72333908,1,Y,-74.0064621,40.73843384,1,7.5,0,0.5,1.65,0,0.3,9.95,,
1,2/8/2016 15:28,2/8/2016 15:34,1,0.7,-73.97428894,40.74197769,1,Y,-73.97618103,40.74926376,1,5.5,0,0.5,1.25,0,0.3,7.55,,
1,2/27/2016 9:41,2/27/2016 9:59,1,5.2,-73.99388123,40.72921371,1,Y,-73.98159027,40.78370667,1,18,0,0.5,1.2,0,0.3,20,,
1,2/24/2016 7:47,2/24/2016 8:48,1,12.1,-73.86343384,40.7698822,1,Y,-73.98961639,40.74803543,1,46.5,0,0.5,10.55,5.54,0.3,63.39,,
1,2/1/2016 9:07,2/1/2016 9:19,1,2.6,-74.00289154,40.73348618,1,Y,-74.00289154,40.73348618,1,11.5,0,0.5,2.46,0,0.3,14.76,,
1,2/13/2016 15:13,2/13/2016 15:23,1,1.1,-73.98543549,40.75321579,1,Y,-73.97114563,40.75623703,1,8,0,0.5,1,0,0.3,9.8,,
1,2/16/2016 20:46,2/16/2016 20:55,1,0.9,-73.97969055,40.75352859,1,Y,-73.98871613,40.7624588,2,6.5,0.5,0.5,0,0,0.3,7.8,,
1,2/29/2016 13:53,2/29/2016 14:01,1,1.1,-73.94937897,40.80447388,1,Y,-73.94142151,40.80944443,2,6.5,0,0.5,0,0,0.3,7.3,,
1,2/11/2016 11:26,2/11/2016 12:19,1,21.3,-73.79026031,40.64378738,2,Y,-73.97625732,40.77898026,1,52,0,0.5,10,5.54,0.3,68.34,,
1,2/17/2016 23:11,2/17/2016 23:26,1,4,-74.00476074,40.74151993,1,Y,-73.9750824,40.77920151,1,14.5,0.5,0.5,3.15,0,0.3,18.95,,
1,2/25/2016 23:33,2/25/2016 23:42,1,1.5,-73.99760437,40.7209549,1,Y,-73.98509979,40.73357773,2,8,0.5,0.5,0,0,0.3,9.3,,
